tag,fused,head,f1_mean,f1_std,delta_vs_lin_adamw,best
dinov3_vitb16_lvd_ctxdistill_dB_tL_ctx1024_r2a4_frac100_seed0,True,bil_diag,0.4974,0.0074,0.0017,"(512, 0.5, 0.0)"
dinov3_vitb16_lvd_ctxdistill_dB_tL_ctx1024_r2a4_frac100_seed0,True,film,0.498,0.0062,0.0023,"(256, 0.5, 0.0)"
dinov3_vitb16_lvd_ctxdistill_dB_tL_ctx1024_r2a4_frac100_seed1,True,lin_lbfgs,0.5069,0.0,,0.0001
dinov3_vitb16_lvd_ctxdistill_dB_tL_ctx1024_r2a4_frac100_seed1,True,lin_adamw,0.4908,0.0005,,"(0, 0.0, 0.0)"
dinov3_vitb16_lvd_ctxdistill_dB_tL_ctx1024_r2a4_frac100_seed1,True,mlp2,0.4901,0.0066,-0.0007,"(512, 0.5, 0.0)"
dinov3_vitb16_lvd_ctxdistill_dB_tL_ctx1024_r2a4_frac100_seed1,True,bil_diag,0.4957,0.0075,0.0049,"(512, 0.5, 0.0)"
dinov3_vitb16_lvd_ctxdistill_dB_tL_ctx1024_r2a4_frac100_seed1,True,film,0.494,0.0033,0.0032,"(256, 0.5, 0.0)"
dinov3_vitb16_lvd_ctxdistill_dB_tL_ctx1024_r2a4_frac100_seed2,True,lin_lbfgs,0.5072,0.0,,0.0001
dinov3_vitb16_lvd_ctxdistill_dB_tL_ctx1024_r2a4_frac100_seed2,True,lin_adamw,0.4975,0.0009,,"(0, 0.0, 0.0)"
dinov3_vitb16_lvd_ctxdistill_dB_tL_ctx1024_r2a4_frac100_seed2,True,mlp2,0.4986,0.004,0.0011,"(256, 0.5, 0.0)"
dinov3_vitb16_lvd_ctxdistill_dB_tL_ctx1024_r2a4_frac100_seed2,True,bil_diag,0.4965,0.0042,-0.001,"(512, 0.5, 0.0)"
dinov3_vitb16_lvd_ctxdistill_dB_tL_ctx1024_r2a4_frac100_seed2,True,film,0.4868,0.0021,-0.0106,"(512, 0.2, 0.0)"
dinov3_vitl16_FROZEN_fused_ctx1024_frac100_seed0,True,lin_lbfgs,0.483,0.0,,0.0001
dinov3_vitl16_FROZEN_fused_ctx1024_frac100_seed0,True,lin_adamw,0.4677,0.0048,,"(0, 0.0, 0.0)"
dinov3_vitl16_FROZEN_fused_ctx1024_frac100_seed0,True,mlp2,0.467,0.0003,-0.0007,"(512, 0.5, 0.0001)"
dinov3_vitl16_FROZEN_fused_ctx1024_frac100_seed0,True,bil_diag,0.4702,0.0074,0.0025,"(256, 0.5, 0.0001)"
dinov3_vitl16_FROZEN_fused_ctx1024_frac100_seed0,True,film,0.4656,0.0053,-0.0021,"(256, 0.5, 0.0)"
dinov3_vitl16_FROZEN_fused_ctx2048_frac100_seed0,True,lin_lbfgs,0.4636,0.0,,0.001
dinov3_vitl16_FROZEN_fused_ctx2048_frac100_seed0,True,lin_adamw,0.4526,0.0028,,"(0, 0.0, 0.0)"
dinov3_vitl16_FROZEN_fused_ctx2048_frac100_seed0,True,mlp2,0.4517,0.0018,-0.0009,"(256, 0.5, 0.0)"
dinov3_vitl16_FROZEN_fused_ctx2048_frac100_seed0,True,bil_diag,0.4553,0.004,0.0028,"(256, 0.5, 0.0)"
dinov3_vitl16_FROZEN_fused_ctx2048_frac100_seed0,True,film,0.4439,0.0063,-0.0086,"(256, 0.5, 0.0)"
dinov3_vitl16_FROZEN_fused_ctx512_frac100_seed0,True,lin_lbfgs,0.4973,0.0,,0.001
dinov3_vitl16_FROZEN_fused_ctx512_frac100_seed0,True,lin_adamw,0.4895,0.0019,,"(0, 0.0, 0.0)"
dinov3_vitl16_FROZEN_fused_ctx512_frac100_seed0,True,mlp2,0.4867,0.0027,-0.0029,"(512, 0.5, 0.0)"
dinov3_vitl16_FROZEN_fused_ctx512_frac100_seed0,True,bil_diag,0.4821,0.0068,-0.0074,"(256, 0.5, 0.0)"
dinov3_vitl16_FROZEN_fused_ctx512_frac100_seed0,True,film,0.4714,0.0059,-0.0181,"(256, 0.5, 0.0)"
dinov3_vits16_FROZEN_fused_ctx1024_frac100_seed0,True,lin_lbfgs,0.4831,0.0,,0.001
dinov3_vits16_FROZEN_fused_ctx1024_frac100_seed0,True,lin_adamw,0.4744,0.0031,,"(0, 0.0, 0.0)"
dinov3_vits16_FROZEN_fused_ctx1024_frac100_seed0,True,mlp2,0.4624,0.0054,-0.012,"(512, 0.5, 0.0001)"
dinov3_vits16_FROZEN_fused_ctx1024_frac100_seed0,True,bil_diag,0.4761,0.0006,0.0017,"(256, 0.5, 0.0)"
dinov3_vits16_FROZEN_fused_ctx1024_frac100_seed0,True,film,0.4672,0.0058,-0.0072,"(256, 0.2, 0.0)"
dinov3_vits16_FROZEN_fused_ctx2048_frac100_seed0,True,lin_lbfgs,0.4664,0.0,,0.001
dinov3_vits16_FROZEN_fused_ctx2048_frac100_seed0,True,lin_adamw,0.4598,0.002,,"(0, 0.0, 0.0)"
dinov3_vits16_FROZEN_fused_ctx2048_frac100_seed0,True,mlp2,0.4446,0.0053,-0.0152,"(512, 0.5, 0.0001)"
dinov3_vits16_FROZEN_fused_ctx2048_frac100_seed0,True,bil_diag,0.4545,0.0008,-0.0053,"(256, 0.5, 0.0001)"
dinov3_vits16_FROZEN_fused_ctx2048_frac100_seed0,True,film,0.4563,0.0051,-0.0035,"(256, 0.5, 0.0)"
dinov3_vits16_FROZEN_fused_ctx512_frac100_seed0,True,lin_lbfgs,0.481,0.0,,0.01
dinov3_vits16_FROZEN_fused_ctx512_frac100_seed0,True,lin_adamw,0.4854,0.0022,,"(0, 0.0, 0.0)"
dinov3_vits16_FROZEN_fused_ctx512_frac100_seed0,True,mlp2,0.4804,0.0091,-0.005,"(512, 0.5, 0.0001)"
dinov3_vits16_FROZEN_fused_ctx512_frac100_seed0,True,bil_diag,0.4886,0.0021,0.0031,"(256, 0.5, 0.0)"
dinov3_vits16_FROZEN_fused_ctx512_frac100_seed0,True,film,0.4772,0.0086,-0.0082,"(512, 0.5, 0.0)"
simdinov2_vitb16_FROZEN_fused_ctx1024_frac100_seed0,True,lin_lbfgs,0.4913,0.0,,0.001
simdinov2_vitb16_FROZEN_fused_ctx1024_frac100_seed0,True,lin_adamw,0.4811,0.0097,,"(0, 0.0, 0.0)"
simdinov2_vitb16_FROZEN_fused_ctx1024_frac100_seed0,True,mlp2,0.4762,0.0041,-0.0049,"(512, 0.2, 0.0)"
simdinov2_vitb16_FROZEN_fused_ctx1024_frac100_seed0,True,bil_diag,0.4879,0.0088,0.0069,"(256, 0.2, 0.0)"
simdinov2_vitb16_FROZEN_fused_ctx1024_frac100_seed0,True,film,0.4706,0.0164,-0.0105,"(512, 0.5, 0.0)"
simdinov2_vitb16_FROZEN_fused_ctx2048_frac100_seed0,True,lin_lbfgs,0.4789,0.0,,0.0001
simdinov2_vitb16_FROZEN_fused_ctx2048_frac100_seed0,True,lin_adamw,0.4658,0.006,,"(0, 0.0, 0.0)"
simdinov2_vitb16_FROZEN_fused_ctx2048_frac100_seed0,True,mlp2,0.4563,0.0125,-0.0095,"(512, 0.5, 0.0001)"
simdinov2_vitb16_FROZEN_fused_ctx2048_frac100_seed0,True,bil_diag,0.4597,0.0065,-0.0061,"(256, 0.2, 0.0)"
simdinov2_vitb16_FROZEN_fused_ctx2048_frac100_seed0,True,film,0.4541,0.0104,-0.0117,"(512, 0.2, 0.0)"
simdinov2_vitb16_FROZEN_fused_ctx512_frac100_seed0,True,lin_lbfgs,0.5059,0.0,,0.0001
simdinov2_vitb16_FROZEN_fused_ctx512_frac100_seed0,True,lin_adamw,0.4888,0.0023,,"(0, 0.0, 0.0)"
