group,head,f1_mean,f1_std,delta_vs_lin_adamw,best
SimDINOv2-B LoRA r8 (blocs 6-11),lin_adamw,0.4707,0.0011,,"(0, 0.0, 0.0)"
SimDINOv2-B LoRA r8 (blocs 6-11),mlp2,0.4618,0.008,-0.0088,"(512, 0.5, 0.0001)"
SimDINOv2-B LoRA r8 (blocs 9-11),lin_lbfgs,0.4805,0.0,,"[0.001, 0.001, 0.001]"
SimDINOv2-B LoRA r8 (blocs 9-11),lin_adamw,0.4706,0.0027,,"(0, 0.0, 0.0)"
SimDINOv2-B LoRA r8 (blocs 9-11),mlp2,0.4576,0.0115,-0.013,"(512, 0.5, 0.0)"
SimDINOv2-B LoRA r8 (Q+K+V),lin_lbfgs,0.4812,0.0,,"[0.001, 0.001, 0.0001]"
SimDINOv2-B LoRA r8 (Q+K+V),lin_adamw,0.4662,0.0095,,"(0, 0.0, 0.0)"
SimDINOv2-B LoRA r8 (Q+K+V),mlp2,0.4616,0.0097,-0.0046,"(512, 0.5, 0.0001)"
SimDINOv2-B LoRA r8 (rsLoRA),lin_lbfgs,0.4753,0.0,,"[0.001, 0.001, 0.001]"
SimDINOv2-B LoRA r8 (rsLoRA),lin_adamw,0.4695,0.0027,,"(0, 0.0, 0.0)"
SimDINOv2-B LoRA r8 (rsLoRA),mlp2,0.4638,0.0112,-0.0057,"(512, 0.5, 0.0)"
SimDINOv2-B LoRA r8 (scaling 2),lin_lbfgs,0.4761,0.0,,"[0.001, 0.001, 0.001]"
SimDINOv2-B LoRA r8 (scaling 2),lin_adamw,0.4684,0.0038,,"(0, 0.0, 0.0)"
SimDINOv2-B LoRA r8 (scaling 2),mlp2,0.4651,0.0099,-0.0033,"(512, 0.5, 0.0001)"
SimDINOv2-B LoRA r=8,lin_lbfgs,0.4781,0.0,,"[0.001, 0.001, 0.001]"
SimDINOv2-B LoRA r=8,lin_adamw,0.468,0.0047,,"(0, 0.0, 0.0)"
SimDINOv2-B LoRA r=8,mlp2,0.4685,0.0047,0.0005,"(256, 0.5, 0.0)"
SimDINOv2-B MHSA,lin_lbfgs,0.469,0.0,,"[0.001, 0.001, 0.001]"
SimDINOv2-B MHSA,lin_adamw,0.464,0.0015,,"(0, 0.0, 0.0)"
SimDINOv2-B MHSA,mlp2,0.4681,0.0059,0.0041,"(256, 0.5, 0.0)"
SimDINOv2-B NormTuning,lin_lbfgs,0.4781,0.0,,"[0.001, 0.001, 0.001]"
SimDINOv2-B NormTuning,lin_adamw,0.4671,0.0018,,"(0, 0.0, 0.0)"
SimDINOv2-B NormTuning,mlp2,0.4678,0.0026,0.0007,"(256, 0.2, 0.0)"
SimDINOv2-L LoRA r=8,lin_lbfgs,0.4834,0.0,,"[0.001, 0.001, 0.0001]"
SimDINOv2-L LoRA r=8,lin_adamw,0.4713,0.0096,,"(0, 0.0, 0.0)"
SimDINOv2-L LoRA r=8,mlp2,0.4693,0.0103,-0.002,"(256, 0.5, 0.0001)"
SimDINOv2 ViT-B16,lin_lbfgs,0.472,0.0,,[0.001]
SimDINOv2 ViT-B16,lin_adamw,0.4599,0.0,,"(0, 0.0, 0.0)"
SimDINOv2 ViT-B16,mlp2,0.4573,0.0,-0.0026,"(256, 0.2, 0.0001)"
SimDINOv2 ViT-L16,lin_lbfgs,0.4756,0.0,,[0.001]
SimDINOv2 ViT-L16,lin_adamw,0.4615,0.0,,"(0, 0.0, 0.0)"
SimDINOv2 ViT-L16,mlp2,0.4654,0.0,0.0039,"(256, 0.5, 0.0001)"
ViT-B/16 IN-Full,lin_lbfgs,0.4747,0.0,,"[0.0001, 0.001, 0.001]"
ViT-B/16 IN-Full,lin_adamw,0.4675,0.0065,,"(0, 0.0, 0.0)"
ViT-B/16 IN-Full,mlp2,0.4703,0.0024,0.0028,"(512, 0.5, 0.0)"
ViT-B/16 IN-MHSA,lin_lbfgs,0.4687,0.0,,"[0.001, 0.001, 0.001]"
ViT-B/16 IN-MHSA,lin_adamw,0.4615,0.0076,,"(0, 0.0, 0.0)"
ViT-B/16 IN-MHSA,mlp2,0.4661,0.0132,0.0046,"(512, 0.5, 0.0)"
