population,n,metric,label,rho,ci95_low,ci95_high,p,p_bh,signif_ci,signif_bh,loo_rho_min,loo_rho_max
all,40,rankme_sigma_raw,"RankMe (σ, bruts)",0.28653187880502085,-0.09529225588629202,0.6113486599795406,0.07305014252080587,0.18262535630201468,False,False,0.23019689489453574,0.3547097272253532
all,40,rankme_sigma_centered,"RankMe (σ, centrés)",0.12619036574746334,-0.24816788072192167,0.48153194036634356,0.43780829074773775,0.5837443876636503,False,False,0.05719491891618852,0.185959408936351
all,40,eff_rank_sigma2,"Rang effectif (σ², centrés)",0.13294553774286655,-0.2617169525473656,0.4862543837851237,0.4134723048501346,0.5837443876636503,False,False,0.06448347495506565,0.185959408936351
all,40,rankme_sigma_raw_norm,RankMe (σ) normalisé,0.10254726376355199,-0.2889412272582682,0.4669413042268838,0.5289149361143435,0.5876832623492706,False,False,0.031684972780118593,0.14890924907205896
all,40,eff_rank_sigma2_norm,Rang effectif (σ²) normalisé,0.030867383145662036,-0.3939622995773953,0.42104241069839327,0.8500325507624106,0.8500325507624107,False,False,-0.04565470518796641,0.0818950254923832
all,40,stable_rank,Stable rank (= NESum),0.13669841107364614,-0.24708641389564948,0.4888641479775984,0.4002917606728225,0.5837443876636503,False,False,0.06853267275444182,0.1924381254153529
all,40,participation_ratio,Participation ratio,0.11286766542319583,-0.2908346987806268,0.466373130581211,0.4880442844016831,0.5876832623492706,False,False,0.04282026672840309,0.1659158798294389
all,40,alpha_spectral,Exposant spectral α,-0.10902097025914675,-0.4753719741048869,0.2957908287214167,0.5030840029059408,0.5876832623492706,False,False,-0.16966138779386186,-0.03887229887401131
all,40,aniso_cosine,Anisotropie (cosinus moyen),-0.49810011282771954,-0.7198049068285765,-0.18667504088109543,0.0010726782789381723,0.007151188526254483,True,True,-0.5466417029157842,-0.45948272028421183
all,40,aniso_spectral,Anisotropie spectrale (λ₁·D/Σλ),0.04006192280607201,-0.35856803562032546,0.45074800581491964,0.8061174515873992,0.8485446858814728,False,False,0.0015184491747660671,0.12198208370620738
all,40,fisher_ratio,Ratio de Fisher,0.42069710038039076,0.07906502524686125,0.7177424712716743,0.006870339334874117,0.027481357339496464,True,True,0.3828516519310177,0.532874430397905
all,40,knn_purity,Pureté k-NN (k=10),0.4781160623413183,0.1123342165013757,0.7485829028829005,0.001806462922304518,0.009032314611522589,True,True,0.43690844255268957,0.548868761705441
all,40,intrinsic_dim_twonn,Dimension intrinsèque (TwoNN),-0.3215274226145404,-0.6085037023127758,0.0026522924185277234,0.0430618507348743,0.12303385924249799,False,False,-0.39631523461394347,-0.2742319209627517
all,40,nc1_canonical,NC1 — dispersion intra / inter,-0.22320214134811545,-0.5666147689173495,0.13263480470473377,0.16622739925855742,0.27704566543092907,False,False,-0.31978539620573365,-0.1815052913570372
all,40,silhouette,Silhouette,0.5813200789377567,0.29351982035057944,0.7899033494283358,8.369159713817027e-05,0.0008369159713817028,True,True,0.5482613820355345,0.638963412741561
all,40,dbi,Davies-Bouldin,-0.5824459409369906,-0.7972162793584633,-0.297369338041148,8.046325306658375e-05,0.0008369159713817028,True,True,-0.6381535731816858,-0.5494761413753474
all,40,chi,Calinski-Harabasz,0.22395271601427136,-0.13194060480769443,0.5744432226610706,0.16477025630350015,0.27704566543092907,False,False,0.18231513091691245,0.32059523576560894
all,40,nc2_mean_cos,NC2 — cosinus moyen des centroïdes,-0.26523432265284674,-0.5771668852770545,0.10696206918773155,0.09811309260171214,0.19622618520342427,False,False,-0.31624234813127955,-0.20721769738307594
all,40,logme_train,LogME (train),0.27377210948037023,-0.06928260440353398,0.5802737934059464,0.08737459628933529,0.1941657695318562,False,False,0.21865668116631362,0.3267702624096576
all,40,logme_test,LogME (test),0.34610874293114663,0.023225253915040146,0.6301738321869556,0.02869264174787941,0.09564213915959803,True,False,0.29710988852922704,0.4036037906528206
frozen,11,rankme_sigma_raw,"RankMe (σ, bruts)",0.7000000000000001,0.08753212513293158,0.9626168224299064,0.016470978836514428,0.04117744709128607,True,True,0.6,0.8545454545454544
frozen,11,rankme_sigma_centered,"RankMe (σ, centrés)",0.5090909090909091,-0.19825084190003542,0.94492015861108,0.10973723224165634,0.15640907068565088,False,False,0.34545454545454546,0.7939393939393938
frozen,11,eff_rank_sigma2,"Rang effectif (σ², centrés)",0.8272727272727273,0.42990654205607476,0.9417615758028379,0.0016769738964523809,0.008886938029673845,True,True,0.8060606060606059,0.8666666666666665
frozen,11,rankme_sigma_raw_norm,RankMe (σ) normalisé,0.6000000000000001,-0.07480195816644414,0.8976744186046512,0.05100326070695074,0.09273320128536498,False,False,0.5030303030303029,0.7212121212121211
frozen,11,eff_rank_sigma2_norm,Rang effectif (σ²) normalisé,0.5545454545454546,-0.2524834364442104,0.8710228166797794,0.07665233333978243,0.11792666667658835,False,False,0.43030303030303024,0.6727272727272726
frozen,11,stable_rank,Stable rank (= NESum),0.8000000000000002,0.38529391929864004,0.943127962085308,0.0031104283103858456,0.008886938029673845,True,True,0.7575757575757575,0.8424242424242423
frozen,11,participation_ratio,Participation ratio,0.8000000000000002,0.38529391929864004,0.943127962085308,0.0031104283103858456,0.008886938029673845,True,True,0.7575757575757575,0.8424242424242423
frozen,11,alpha_spectral,Exposant spectral α,-0.8363636363636365,-0.9722222222222221,-0.3933649289099526,0.0013331850799508565,0.008886938029673845,True,True,-0.9030303030303028,-0.7818181818181817
frozen,11,aniso_cosine,Anisotropie (cosinus moyen),-0.6363636363636364,-0.9248914045017771,-0.03510293402496392,0.03528698122006231,0.07841551382236069,True,False,-0.7212121212121211,-0.5636363636363636
frozen,11,aniso_spectral,Anisotropie spectrale (λ₁·D/Σλ),-0.5545454545454546,-0.9024742026266417,0.2905411516430498,0.07665233333978243,0.11792666667658835,False,False,-0.6727272727272726,-0.406060606060606
frozen,11,fisher_ratio,Ratio de Fisher,-0.2545454545454546,-0.8537285564243202,0.46980210196779953,0.45003657688882837,0.500040640987587,False,False,-0.6727272727272726,-0.12727272727272726
frozen,11,knn_purity,Pureté k-NN (k=10),0.4000000000000001,-0.40201660466382355,0.9712952836637047,0.22286835013352,0.2621980589806117,False,False,0.19999999999999998,0.6363636363636362
frozen,11,intrinsic_dim_twonn,Dimension intrinsèque (TwoNN),-0.03636363636363637,-0.8497828090035541,0.7157065616447497,0.9154683168905347,0.9154683168905347,False,False,-0.38181818181818183,0.16363636363636364
