tier,family,metric,label,rho,p,p_bh_global,p_bh_family,pairs_ok,pairs_total,pair_acc,pred_best,pred_best_correct
10,voisinage,knn_purity,Pureté k-NN,-0.024316221747202584,0.9468397049085097,0.9468397049085097,0.9468397049085097,22,44,0.5,ctxdistill_dB_tL,True
10,voisinage,aniso_cosine,Anisotropie,0.2553203283456271,0.4764934533513361,0.7412120385465228,0.6353246044684481,16,44,0.36363636363636365,dinov3_vitl16_lvd_lora,False
10,voisinage,intrinsic_dim_twonn,Dim. intrinsèque,-0.498482545817653,0.14251791767625302,0.33254180791125704,0.28503583535250604,31,44,0.7045454545454546,ctxdistill_dB_tL,True
10,voisinage,dbi,Davies-Bouldin,-0.5227987675648555,0.12102739408380088,0.33254180791125704,0.28503583535250604,28,44,0.6363636363636364,ctxdistill_dA_tEMA,False
10,transférabilité,logme_train,LogME (train),0.14589733048321551,0.6875567115411833,0.8638875447022868,0.8021812915092663,23,44,0.5227272727272727,simdinov2_vitb16_lora_r8_b911,False
10,transférabilité,logme_test,LogME (test),0.09118583155200968,0.8021812915092663,0.8638875447022868,0.8021812915092663,23,44,0.5227272727272727,simdinov2_vitl16_lora,False
12,séparabilité,fisher_ratio,Ratio de Fisher,0.5324001159371432,0.07475628173890238,0.20931758886892665,0.09967504231853651,43,65,0.6615384615384615,ctxdistill_dA_tEMA,False
12,séparabilité,silhouette,Silhouette,0.16462372005951137,0.6091580087875201,0.7752920111841166,0.6091580087875201,36,65,0.5538461538461539,dinov3_vitb16_lvd_lora_r8,False
12,séparabilité,chi,Calinski-Harabasz,0.5709290716957522,0.052523555482204325,0.20931758886892665,0.09967504231853651,45,65,0.6923076923076923,ctxdistill_dA_tEMA,False
12,séparabilité,nc1_canonical,NC1 (intra/inter),-0.5709290716957522,0.052523555482204325,0.20931758886892665,0.09967504231853651,45,65,0.6923076923076923,ctxdistill_dA_tEMA,False
12,spectrale,eff_rank_sigma2,Rang effectif (σ²),-0.2837132196770302,0.37150966693927856,0.5779039263499889,0.49534622258570477,27,65,0.4153846153846154,simdinov2_vitl16_lora,False
