target,population,n,metric,label,rho,ci95_low,ci95_high,p,p_bh,signif_ci,signif_bh,loo_rho_min,loo_rho_max
delta_nonlinearite,all,20,rankme_sigma_raw,"RankMe (σ, bruts)",0.35488721804511275,-0.19368242339919925,0.753457322700735,0.12468812756013883,0.35075303323219015,False,False,0.2508771929824561,0.5175438596491229
delta_nonlinearite,all,20,rankme_sigma_centered,"RankMe (σ, centrés)",0.3233082706766917,-0.18246689694545565,0.7403906518010291,0.1643897370386501,0.35075303323219015,False,False,0.21929824561403505,0.4859649122807017
delta_nonlinearite,all,20,eff_rank_sigma2,"Rang effectif (σ², centrés)",0.40751879699248117,-0.1433444758425805,0.8027351502092104,0.0745082158554702,0.35075303323219015,False,False,0.30877192982456136,0.5789473684210525
delta_nonlinearite,all,20,rankme_sigma_raw_norm,RankMe (σ) normalisé,0.4060150375939849,-0.11374553018841975,0.8122705318985193,0.0756893721143978,0.35075303323219015,False,False,0.30701754385964913,0.5807017543859649
delta_nonlinearite,all,20,eff_rank_sigma2_norm,Rang effectif (σ²) normalisé,0.21353383458646616,-0.319085593633263,0.6830002902144936,0.3660206383395141,0.5228866261993058,False,False,0.0824561403508772,0.37543859649122807
delta_nonlinearite,all,20,stable_rank,Stable rank (= NESum),0.312781954887218,-0.20336163903179244,0.7205938685685634,0.17936353052759127,0.35075303323219015,False,False,0.19824561403508772,0.4807017543859649
delta_nonlinearite,all,20,participation_ratio,Participation ratio,0.3233082706766917,-0.19946183440065815,0.7396855948832393,0.1643897370386501,0.35075303323219015,False,False,0.21052631578947367,0.48947368421052634
delta_nonlinearite,all,20,alpha_spectral,Exposant spectral α,-0.33684210526315783,-0.7350720645485153,0.20244888814237108,0.14643294329466047,0.35075303323219015,False,False,-0.4789473684210526,-0.22982456140350876
delta_nonlinearite,all,20,aniso_cosine,Anisotropie (cosinus moyen),-0.3037593984962406,-0.6717473524962179,0.20469097908029146,0.19291416827770458,0.35075303323219015,False,False,-0.41754385964912283,-0.2
delta_nonlinearite,all,20,aniso_spectral,Anisotropie spectrale (λ₁·D/Σλ),-0.16541353383458643,-0.6239812321867824,0.3747161241483724,0.4858377042773383,0.6477836057031178,False,False,-0.30350877192982456,-0.02631578947368421
delta_nonlinearite,all,20,fisher_ratio,Ratio de Fisher,-0.10225563909774435,-0.5128612613608364,0.3795084276175459,0.6679353573533201,0.785806302768612,False,False,-0.22982456140350876,0.019298245614035085
delta_nonlinearite,all,20,knn_purity,Pureté k-NN (k=10),0.2300751879699248,-0.3051610770720998,0.6687537893386557,0.32913824647008466,0.5164222015591046,False,False,0.14210526315789473,0.39122807017543854
