model,fraction,seed,n,dim,rankme_sigma_raw,rankme_sigma_centered,eff_rank_sigma2,rankme_sigma_raw_norm,eff_rank_sigma2_norm,stable_rank,participation_ratio,alpha_spectral,alpha_r2,aniso_cosine,aniso_spectral,fisher_ratio,knn_purity,intrinsic_dim_twonn,nc1_canonical,nc1_inverse,silhouette,dbi,chi,nc2_mean_cos,nc2_std_cos,emb_dir
dinov3_vitb16_lvd_full,1.0,0,17598,768,393.50728292166525,431.5006004741734,49.21924842208041,0.5123792746375849,0.06408756304958386,5.925968809898825,14.96743762760844,1.6669366001583332,0.8815470468713593,0.31707775592803955,129.59906213429974,0.34648879814450606,0.68644,10.907534625355712,2.4777763328041003,0.40358767930755723,0.03906117569449342,3.9287979942068536,709.7896515984769,-0.08764784337568707,0.34331737989902794,ft_ssl_results/dinov3_vitb16_lvd_full_embeddings/dinov3_vitb16_lvd_full_frac100_seed0
dinov3_vitb16_lvd_full,1.0,1,17598,768,396.3632999418476,435.11341112590446,50.50370644411999,0.5160980467992807,0.0657600344324479,5.880793685667946,15.246331493357888,1.66098653308587,0.8785964824263975,0.3225693702697754,130.5946171639534,0.34797866060742655,0.68552,11.044545771429032,2.4552632567186428,0.4072883008627153,0.040741280547562125,4.021396537567258,716.2979347275385,-0.08672375120376281,0.34819091568697597,ft_ssl_results/dinov3_vitb16_lvd_full_embeddings/dinov3_vitb16_lvd_full_frac100_seed1
dinov3_vitb16_lvd_full,1.0,2,17598,768,387.08271273384383,427.4141323180758,46.213628226745506,0.5040139488721925,0.06017399508690821,5.694885796531827,14.044299749890556,1.6655928987008093,0.8839739386244545,0.33397015929222107,134.85784042723213,0.3549240842847306,0.6825,11.014340076558623,2.396776275667721,0.41722709380582107,0.03561464890232676,3.9677059314157357,733.7772898765928,-0.08667388704727584,0.35182014570581127,ft_ssl_results/dinov3_vitb16_lvd_full_embeddings/dinov3_vitb16_lvd_full_frac100_seed2
dinov3_vitb16_lvd_lora_r8,0.005,0,17598,768,361.9526954737211,431.6870786180766,59.86409916052204,0.4712925722314077,0.07794804578192974,5.58749317483981,17.646515903250783,1.7308920335152902,0.8981979264581139,0.5603817105293274,137.4498323252123,0.2372962822770592,0.61588,13.540778837220948,3.584498284658301,0.27897907059398913,0.009753300834684382,5.384521918097595,490.64049145376197,-0.08287456249012908,0.4063558628253249,DINOv3_LoRA/lora/embeddings/dinov3_vitb16_lvd_lora_frac000_seed0
dinov3_vitb16_lvd_lora_r8,0.005,1,17598,768,365.9948631895793,432.26238709918846,58.39116236271419,0.4765558114447647,0.07603015932645077,4.79539543329936,15.694543852870865,1.7468364032478885,0.8938052774425078,0.5384992957115173,160.1536329344159,0.2574423611354577,0.62388,13.128754977199621,3.2170802994710095,0.3108408578312829,0.008903684255141946,5.454596757709279,546.6758166680258,-0.07653232607031929,0.43088721907289024,DINOv3_LoRA/lora/embeddings/dinov3_vitb16_lvd_lora_frac000_seed1
dinov3_vitb16_lvd_lora_r8,0.005,2,17598,768,366.2585530938195,433.14527588252196,60.219631753455424,0.4768991576742441,0.07841097884564509,4.983483006583627,16.446565025094767,1.7475524534751499,0.8946718811423475,0.5445074439048767,154.10908374432165,0.2506943064543378,0.627,13.395889209679964,3.2892255973317552,0.30402292892615923,0.009613242770624976,5.335861978770932,534.685125102577,-0.08333623793891697,0.4246902506314236,DINOv3_LoRA/lora/embeddings/dinov3_vitb16_lvd_lora_frac000_seed2
dinov3_vitb16_lvd_lora_r8,0.01,0,17598,768,344.6731287823961,405.94653796589284,41.27390760977977,0.4487931364354116,0.05374206720023408,3.749123374596922,10.712804333621861,1.7756212303368262,0.9023981595142251,0.49875912070274353,204.84788662964968,0.3393073504135132,0.6364,12.810024382425249,2.328241721281003,0.4295086677896007,0.015950561026626533,5.0331338785368,755.3768940418752,-0.07595067944021403,0.4661691705003186,DINOv3_LoRA/lora/embeddings/dinov3_vitb16_lvd_lora_frac001_seed0
dinov3_vitb16_lvd_lora_r8,0.01,1,17598,768,340.7882517037391,397.935810390421,38.08610075633882,0.4437347027392436,0.04959127702648284,3.508433755213157,9.75054134967464,1.807375818650764,0.8997849476117867,0.4711974561214447,218.90109763618432,0.360825693193491,0.63464,12.75227819151424,2.2077971728348076,0.4529401578658373,0.013277393455617582,4.989389341032963,796.5858556389906,-0.07577312400859292,0.4526250490662585,DINOv3_LoRA/lora/embeddings/dinov3_vitb16_lvd_lora_frac001_seed1
dinov3_vitb16_lvd_lora_r8,0.01,2,17598,768,351.44579336987493,407.42352266678694,42.14297790250073,0.4576117101170247,0.054873669143881164,3.6684923810054886,10.58931916402133,1.7931782773328553,0.8970434246366612,0.46431225538253784,209.35030531247844,0.33739058193926214,0.64454,12.66526310881772,2.309166889346832,0.4330566164849287,0.018222593939832964,5.052377667894742,761.6166714123558,-0.08088126259691324,0.4600561580421512,DINOv3_LoRA/lora/embeddings/dinov3_vitb16_lvd_lora_frac001_seed2
dinov3_vitb16_lvd_lora_r8,0.05,0,17598,768,336.11498890870575,380.09142911793816,36.86614652209209,0.43764972514154393,0.04800279495064074,4.4356073111511085,11.956185671982139,1.8289414141719127,0.9041898784606401,0.3780476748943329,173.14427227794704,0.40065715251466955,0.66594,10.884302031991995,2.1020610754145497,0.47572357040211743,0.03970674862620218,4.289951385395319,836.6550432665894,-0.0829746268629947,0.3637766693089926,DINOv3_LoRA/lora/embeddings/dinov3_vitb16_lvd_lora_frac005_seed0
dinov3_vitb16_lvd_lora_r8,0.05,1,17598,768,345.47469950471174,386.6530573359767,34.23064837984648,0.44983684831342674,0.04457115674459177,3.8367566917025786,10.194795992344401,1.8139083942423493,0.8916779960470617,0.3444763720035553,200.16906510149238,0.468826970477373,0.67376,11.222117351123899,1.745760677350042,0.572816201541076,0.04960613162041872,4.429433450195153,1007.4118536508548,-0.0765731499237504,0.37715806806277,DINOv3_LoRA/lora/embeddings/dinov3_vitb16_lvd_lora_frac005_seed1
dinov3_vitb16_lvd_lora_r8,0.05,2,17598,768,350.6453287790809,393.1191860870831,37.001124501492185,0.45656943851442827,0.048178547527984616,4.028018300693985,10.990527918744654,1.8037042186374974,0.8903199967278662,0.3576435446739197,190.66447634254337,0.4080868040108094,0.67092,11.815484541818746,2.016809310903102,0.49583269701968835,0.03813439558973618,4.3089855071989716,872.020964248946,-0.08242031552372982,0.40274644915716523,DINOv3_LoRA/lora/embeddings/dinov3_vitb16_lvd_lora_frac005_seed2
dinov3_vitb16_lvd_lora_r8,0.1,0,17598,768,343.0258939021853,386.8885381208344,39.12272331896372,0.4466482993518038,0.05094104598823401,4.700996289130265,12.66420874546894,1.8205428664857322,0.9010544364106633,0.37721073627471924,163.36962481246468,0.3992282750260932,0.66714,10.499237563258243,2.1149505515781106,0.47282429334026654,0.03996934446135845,4.2214769274733595,831.5560846979082,-0.08283911328266746,0.34744517879325687,DINOv3_LoRA/lora/embeddings/dinov3_vitb16_lvd_lora_frac010_seed0
dinov3_vitb16_lvd_lora_r8,0.1,1,17598,768,341.8885141269315,386.1228217305334,35.660216499270966,0.4451673361027754,0.04643257356675907,4.170385073347521,11.09544782456345,1.8203142130148757,0.8919857084582403,0.37278544902801514,184.15565625059537,0.45435533379762044,0.67894,11.153607039751579,1.8491851735769587,0.5407787247531928,0.048798150141577824,4.202617795609243,951.0675432239414,-0.07989247962475905,0.36551294666214873,DINOv3_LoRA/lora/embeddings/dinov3_vitb16_lvd_lora_frac010_seed1
dinov3_vitb16_lvd_lora_r8,0.1,2,17598,768,347.09814316372785,391.9881547276057,37.33556466387976,0.4519507072444373,0.048614016489426766,4.012441046203718,11.076010749870091,1.8120966914243375,0.8901676422156878,0.3794933557510376,191.40468137883948,0.40973057112553357,0.6711,11.384442374940958,2.0545744593643755,0.48671879251768935,0.03604482509404149,4.297533734891053,855.9923404012643,-0.08436440905994019,0.40384143865183403,DINOv3_LoRA/lora/embeddings/dinov3_vitb16_lvd_lora_frac010_seed2
dinov3_vitb16_lvd_lora_r8,0.25,0,17598,768,352.33675263224296,392.96810645366065,40.65754999581183,0.458771813323233,0.05293951822371332,4.855071230216813,13.18299122755199,1.799929809804291,0.8969462904998886,0.3487742245197296,158.18511481770852,0.3880296148453372,0.67712,10.79524387057885,2.188056278344531,0.45702663587617426,0.04296839870898996,4.131849084161405,803.7727445157839,-0.08611097389010748,0.34624591763328777,DINOv3_LoRA/lora/embeddings/dinov3_vitb16_lvd_lora_frac025_seed0
